param-0-nm,param-1-n,param-2-m,cps+cbn-regression-quadratic-real,cps+cbv-regression-quadratic-real,cps+lazy-regression-quadratic-real,cps+native-compute-regression-quadratic-real,cps+simpl-regression-quadratic-real,cps+vm-compute-regression-quadratic-real,rewrite-strat(bottomup-bottomup)-regression-exponential-real,rewrite-strat(topdown-bottomup)-regression-exponential-real,setoid-rewrite-regression-cubic-real
2161,2161,1,,,,,,0.013,,,
2162,46,47,,0.004,0.004,0.101,,0.01,,,
2163,1,2163,,,,0.096,,,,,
2163,2163,1,,,,0.097,,,,,
2170,1,2170,,,,,,0.011,,,
2170,2170,1,,,,,,0.014,,,
2197,1,2197,,,,,,0.01,,,
2197,2197,1,,,,,,0.013,,,
2214,1,2214,,,,0.1,,,,,
2214,2214,1,,,,0.101,,,,,
2217,1,2217,,0.008,0.018,,,,,,
2217,2217,1,,0.007,0.008,,,,,,
2233,1,2233,,,,,,0.02,,,
2233,2233,1,,,,,,0.013,,,
2236,1,2236,,,,,,0.011,,,
2236,2236,1,,,,,,0.014,,,
2256,47,48,,0.004,0.004,0.098,,0.01,,,
2264,1,2264,,,,0.097,,,,,
2264,2264,1,,,,0.099,,,,,
2269,1,2269,,,,,,0.011,,,
2269,2269,1,,,,,,0.014,,,
2275,1,2275,,0.008,0.01,,,,,,
2275,2275,1,,0.007,0.009,,,,,,
2302,1,2302,,,,,,0.011,,,
2302,2302,1,,,,,,0.014,,,
2305,1,2305,,,,,,0.011,,,
2305,2305,1,,,,,,0.014,,,
2314,1,2314,,,,0.103,,,,,
2314,2314,1,,,,0.117,,,,,
2334,1,2334,,0.013,0.023,,,,,,
2334,2334,1,,0.007,0.009,,,,,,
2341,1,2341,,,,,,0.015,,,
2341,2341,1,,,,,,0.014,,,
2352,48,49,,0.004,0.005,0.1,,0.011,,,
2364,1,2364,,,,0.098,,,,,
2364,2364,1,,,,0.104,,,,,
2368,1,2368,,,,,,0.018,,,
2368,2368,1,,,,,,0.014,,,
2377,1,2377,,,,,,0.011,,,
2377,2377,1,,,,,,0.014,,,
2392,1,2392,,0.009,0.011,,,,,,
2392,2392,1,,0.007,0.018,,,,,,
2413,1,2413,,,,,,0.012,,,
2413,2413,1,,,,,,0.023,,,
2415,1,2415,,,,0.1,,,,,
2415,2415,1,,,,0.102,,,,,
2433,1,2433,,,,,,0.011,,,
2433,2433,1,,,,,,0.015,,,
2449,1,2449,,,,,,0.012,,,
2449,2449,1,,,,,,0.015,,,
2450,1,2450,,0.009,0.011,,,,,,
2450,49,50,,0.012,0.005,0.101,,0.011,,,
2450,2450,1,,0.007,0.009,,,,,,
2465,1,2465,,,,0.107,,,,,
2465,2465,1,,,,0.108,,,,,
2485,1,2485,,,,,,0.012,,,
2485,2485,1,,,,,,0.015,,,
2499,1,2499,,,,,,0.012,,,
2499,2499,1,,,,,,0.02,,,
2508,1,2508,,0.01,0.012,,,,,,
2508,2508,1,,0.008,0.01,,,,,,
2515,1,2515,,,,0.102,,,,,
2515,2515,1,,,,0.106,,,,,
2521,1,2521,,,,,,0.012,,,
2521,2521,1,,,,,,0.02,,,
2548,1,2548,,0.009,,,,,,,
2548,2548,1,,0.008,,,,,,,
2550,50,51,,0.004,0.005,0.101,,0.012,,,
2557,1,2557,,,,,,0.012,,,
2557,2557,1,,,,,,0.016,,,
2565,1,2565,,,,,,0.012,,,
2565,2565,1,,,,,,0.016,,,
2566,1,2566,,,,0.102,,,,,
2566,2566,1,,,,0.122,,,,,
2567,1,2567,,0.009,0.021,,,,,,
2567,2567,1,,0.014,0.01,,,,,,
2586,1,2586,,,0.025,,,,,,
2586,2586,1,,,0.01,,,,,,
2593,1,2593,,,,,,0.013,,,
2593,2593,1,,,,,,0.016,,,
2616,1,2616,,,,0.104,,,,,
2616,2616,1,,,,0.105,,,,,
2625,1,2625,,0.01,0.012,,,,,,
2625,2625,1,,0.008,0.01,,,,,,
2629,1,2629,,,,,,0.018,,,
2629,2629,1,,,,,,0.016,,,
2631,1,2631,,,,,,0.013,,,
2631,2631,1,,,,,,0.025,,,
2646,1,2646,,0.009,,,,,,,
2646,2646,1,,0.01,,,,,,,
2652,51,52,,0.005,0.02,0.104,,0.012,,,
2665,1,2665,,,,,,0.013,,,
2665,2665,1,,,,,,0.016,,,
2666,1,2666,,,,0.101,,,,,
2666,2666,1,,,,0.106,,,,,
2683,1,2683,,0.01,0.012,,,,,,
2683,2683,1,,0.008,0.01,,,,,,
2696,1,2696,,,,,,0.013,,,
2696,2696,1,,,,,,0.017,,,
2701,1,2701,,,,,,0.013,,,
2701,2701,1,,,,,,0.023,,,
2716,1,2716,,,,0.114,,,,,
2716,2716,1,,,,0.108,,,,,
2722,1,2722,,,0.012,,,,,,
2722,2722,1,,,0.01,,,,,,
2737,1,2737,,,,,,0.013,,,
2737,2737,1,,,,,,0.017,,,
2742,1,2742,,0.019,0.012,,,,,,
2742,2742,1,,0.008,0.014,,,,,,
2744,1,2744,,0.01,,,,,,,
2744,2744,1,,0.008,,,,,,,
2756,52,53,,0.005,0.012,0.103,,0.013,,,
2762,1,2762,,,,,,0.025,,,
2762,2762,1,,,,,,0.018,,,
2767,1,2767,,,,0.103,,,,,
2767,2767,1,,,,0.108,,,,,
2773,1,2773,,,,,,0.013,,,
2773,2773,1,,,,,,0.024,,,
