param-0-nm,param-1-n,param-2-m,cps+cbn-regression-quadratic-real,cps+cbn-regression-quadratic-sys,cps+cbn-regression-quadratic-user,cps+cbv-regression-quadratic-real,cps+cbv-regression-quadratic-sys,cps+cbv-regression-quadratic-user,cps+lazy-regression-quadratic-real,cps+lazy-regression-quadratic-sys,cps+lazy-regression-quadratic-user,cps+native-compute-native-compute-compilation-real,cps+native-compute-native-compute-conversion-to-native-code-real,cps+native-compute-native-compute-evaluation-real,cps+native-compute-native-compute-reification-real,cps+native-compute-regression-quadratic-real,cps+native-compute-regression-quadratic-sys,cps+native-compute-regression-quadratic-user,cps+simpl-regression-quadratic-real,cps+simpl-regression-quadratic-sys,cps+simpl-regression-quadratic-user,cps+vm-compute-regression-quadratic-real,cps+vm-compute-regression-quadratic-sys,cps+vm-compute-regression-quadratic-user,rewrite-strat(bottomup-bottomup)-regression-exponential-real,rewrite-strat(bottomup-bottomup)-regression-exponential-sys,rewrite-strat(bottomup-bottomup)-regression-exponential-user,rewrite-strat(topdown-bottomup)-regression-exponential-real,rewrite-strat(topdown-bottomup)-regression-exponential-sys,rewrite-strat(topdown-bottomup)-regression-exponential-user,setoid-rewrite-regression-cubic-real,setoid-rewrite-regression-cubic-sys,setoid-rewrite-regression-cubic-user
306,17,18,,,,0.001,0.001,0.,0.001,0.001,0.,0.11195,0.00087,0.00090,0.00184,0.115,0.,0.007,0.026,0.,0.026,0.002,0.,0.002,,,,,,,,,
307,1,307,,,,,,,,,,0.11343,0.00049,0.00090,0.00189,0.116,0.002,0.004,,,,,,,,,,,,,,,
307,307,1,,,,,,,,,,0.11234,0.00029,0.00151,0.00211,0.116,0.,0.007,,,,,,,,,,,,,,,
328,1,328,,,,,,,,,,,,,,,,,0.366,0.,0.366,,,,,,,,,,,,
328,328,1,,,,,,,,,,,,,,,,,0.175,0.,0.175,,,,,,,,,,,,
329,1,329,,,,,,,,,,0.11437,0.00029,0.00091,0.00140,0.117,0.004,0.001,,,,0.059,0.007,0.051,,,,,,,,,
329,329,1,,,,,,,,,,0.11315,0.00051,0.00092,0.00205,0.116,0.,0.006,,,,0.002,0.,0.002,,,,,,,,,
336,1,336,0.388,0.,0.388,,,,,,,,,,,,,,,,,,,,,,,,,,,,
336,336,1,0.299,0.,0.299,,,,,,,,,,,,,,,,,,,,,,,,,,,,
342,18,19,0.03,0.,0.03,0.001,0.001,0.,0.001,0.001,0.,0.11681,0.00030,0.00090,0.00153,0.119,0.003,0.002,0.029,0.,0.029,0.001,0.,0.001,,,,,,,,,
355,1,355,,,,0.003,0.,0.003,0.062,0.018,0.043,,,,,,,,,,,,,,,,,,,,,,
355,355,1,,,,0.001,0.,0.001,0.001,0.,0.001,,,,,,,,,,,,,,,,,,,,,,
364,1,364,,,,,,,,,,,,,,,,,0.456,0.,0.456,,,,,,,,,,,,
364,364,1,,,,,,,,,,,,,,,,,0.182,0.003,0.178,,,,,,,,,,,,
365,1,365,,,,,,,,,,0.11311,0.00030,0.00091,0.00155,0.116,0.003,0.002,,,,0.001,0.,0.001,,,,,,,,,
365,365,1,,,,,,,,,,0.11346,0.00038,0.00092,0.00226,0.117,0.,0.007,,,,0.002,0.,0.002,,,,,,,,,
380,19,20,,,,,,,,,,0.11322,0.00031,0.00093,0.00168,0.116,0.003,0.003,0.033,0.,0.033,0.001,0.,0.001,,,,,,,,,
400,1,400,,,,,,,,,,,,,,,,,0.491,0.,0.491,,,,,,,,,,,,
