param-n,abstract+rewrite-strat-bottomup-real,abstract+rewrite-strat-bottomup-sys,abstract+rewrite-strat-bottomup-user,abstract+rewrite-strat-topdown-real,abstract+rewrite-strat-topdown-sys,abstract+rewrite-strat-topdown-user,close-abstract+rewrite-strat-bottomup-real,close-abstract+rewrite-strat-bottomup-sys,close-abstract+rewrite-strat-bottomup-user,close-abstract+rewrite-strat-topdown-real,close-abstract+rewrite-strat-topdown-sys,close-abstract+rewrite-strat-topdown-user,rewrite-strat-bottomup-real,rewrite-strat-bottomup-sys,rewrite-strat-bottomup-user,rewrite-strat-bottomup-noop-real,rewrite-strat-bottomup-noop-sys,rewrite-strat-bottomup-noop-user,rewrite-strat-topdown-real,rewrite-strat-topdown-sys,rewrite-strat-topdown-user,rewrite-strat-topdown-noop-real,rewrite-strat-topdown-noop-sys,rewrite-strat-topdown-noop-user
150,0.48,0.,0.48,0.285,0.007,0.278,0.157,0.,0.157,0.117,0.003,0.113,0.32,0.,0.32,0.001,0.,0.001,0.165,0.003,0.162,0.001,0.,0.001
160,0.512,0.,0.512,0.316,0.003,0.312,0.176,0.,0.176,0.126,0.,0.126,0.332,0.,0.332,0.001,0.,0.001,0.179,0.003,0.175,0.01,0.,0.01
170,0.61,0.,0.61,0.398,0.,0.398,0.203,0.,0.203,0.185,0.,0.185,0.403,0.,0.403,0.002,0.,0.002,0.209,0.,0.209,0.002,0.,0.002
180,0.658,0.,0.658,0.418,0.007,0.41,0.198,0.,0.198,0.172,0.,0.172,0.456,0.,0.456,0.002,0.,0.002,0.243,0.007,0.235,0.002,0.,0.002
190,0.731,0.003,0.727,0.436,0.,0.436,0.226,0.003,0.222,0.165,0.,0.165,0.501,0.,0.501,0.002,0.,0.002,0.267,0.,0.267,0.002,0.,0.002
200,0.808,0.003,0.804,0.517,0.004,0.513,0.24,0.,0.24,0.202,0.,0.202,0.564,0.003,0.56,0.002,0.,0.002,0.306,0.003,0.302,0.008,0.,0.008
210,0.916,0.007,0.908,0.533,0.,0.533,0.298,0.,0.298,0.205,0.,0.205,0.613,0.007,0.605,0.002,0.,0.002,0.324,0.,0.324,0.002,0.,0.002
220,1.036,0.,1.035,0.57,0.003,0.566,0.298,0.,0.298,0.217,0.003,0.213,0.733,0.,0.733,0.003,0.,0.003,0.349,0.,0.349,0.003,0.,0.003
230,1.059,0.,1.059,0.655,0.,0.655,0.33,0.,0.33,0.264,0.,0.264,0.724,0.,0.724,0.003,0.,0.003,0.386,0.,0.386,0.003,0.,0.003
240,1.192,0.,1.192,0.749,0.,0.749,0.391,0.,0.391,0.285,0.,0.285,0.795,0.,0.795,0.003,0.,0.003,0.459,0.,0.459,0.003,0.,0.003
250,1.242,0.,1.242,0.737,0.003,0.733,0.386,0.,0.386,0.276,0.,0.276,0.851,0.,0.851,0.003,0.,0.003,0.456,0.003,0.452,0.003,0.,0.003
260,1.408,0.,1.408,0.823,0.,0.823,0.414,0.,0.414,0.305,0.,0.305,0.989,0.,0.989,0.003,0.,0.003,0.512,0.,0.512,0.004,0.,0.004
270,1.481,0.,1.481,0.923,0.003,0.919,0.437,0.,0.437,0.331,0.,0.331,1.038,0.,1.038,0.004,0.,0.004,0.586,0.003,0.582,0.004,0.,0.004
280,1.677,0.,1.677,1.039,0.,1.039,0.52,0.,0.52,0.379,0.,0.379,1.15,0.,1.15,0.004,0.,0.004,0.654,0.,0.654,0.004,0.,0.004
290,1.763,0.015,1.747,1.024,0.,1.024,0.51,0.,0.51,0.382,0.,0.382,1.247,0.015,1.231,0.004,0.,0.004,0.636,0.,0.636,0.004,0.,0.004
300,1.943,0.008,1.935,1.091,0.,1.091,0.538,0.,0.538,0.403,0.,0.403,1.399,0.008,1.391,0.005,0.,0.005,0.682,0.,0.682,0.005,0.,0.005
310,2.101,0.,2.101,1.183,0.,1.182,0.632,0.,0.632,0.419,0.,0.419,1.463,0.,1.463,0.005,0.,0.005,0.756,0.,0.756,0.005,0.,0.005
320,2.146,0.,2.145,1.375,0.,1.374,0.623,0.,0.623,0.447,0.,0.447,1.516,0.,1.515,0.005,0.,0.005,0.92,0.,0.92,0.005,0.,0.005
330,2.408,0.,2.408,1.373,0.003,1.369,0.712,0.,0.712,0.487,0.,0.487,1.689,0.,1.689,0.005,0.,0.005,0.878,0.003,0.874,0.006,0.,0.006
340,2.469,0.003,2.465,1.666,0.,1.666,0.692,0.,0.692,0.555,0.,0.555,1.764,0.003,1.76,0.006,0.,0.006,1.104,0.,1.104,0.006,0.,0.006
350,2.711,0.003,2.707,1.589,0.003,1.585,0.733,0.,0.733,0.527,0.,0.527,1.971,0.003,1.967,0.006,0.,0.006,1.049,0.003,1.045,0.011,0.,0.011
360,2.912,0.003,2.908,1.661,0.,1.661,0.836,0.,0.836,0.569,0.,0.569,2.067,0.003,2.063,0.006,0.,0.006,1.083,0.,1.083,0.007,0.,0.007
370,3.031,0.02,3.011,1.837,0.,1.836,0.818,0.,0.818,0.656,0.,0.656,2.204,0.02,2.184,0.007,0.,0.007,1.171,0.,1.171,0.007,0.,0.007
380,3.463,0.,3.463,1.865,0.003,1.861,0.87,0.,0.87,0.631,0.003,0.627,2.573,0.,2.573,0.017,0.,0.017,1.225,0.,1.224,0.007,0.,0.007
390,3.345,0.,3.345,2.233,0.008,2.225,0.924,0.,0.924,0.721,0.,0.721,2.411,0.,2.411,0.007,0.,0.007,1.491,0.008,1.483,0.018,0.,0.018
400,3.818,0.02,3.797,2.077,0.003,2.073,1.019,0.,1.018,0.755,0.,0.755,2.785,0.019,2.765,0.012,0.,0.012,1.312,0.003,1.308,0.008,0.,0.008
