param-0-nm,param-1-n,param-2-m,cps+cbn-regression-quadratic-real,cps+cbn-regression-quadratic-sys,cps+cbn-regression-quadratic-user,cps+cbv-regression-quadratic-real,cps+cbv-regression-quadratic-sys,cps+cbv-regression-quadratic-user,cps+lazy-regression-quadratic-real,cps+lazy-regression-quadratic-sys,cps+lazy-regression-quadratic-user,cps+native-compute-regression-quadratic-real,cps+native-compute-regression-quadratic-sys,cps+native-compute-regression-quadratic-user,cps+simpl-regression-quadratic-real,cps+simpl-regression-quadratic-sys,cps+simpl-regression-quadratic-user,cps+vm-compute-regression-quadratic-real,cps+vm-compute-regression-quadratic-sys,cps+vm-compute-regression-quadratic-user,rewrite-strat(bottomup-bottomup)-regression-exponential-real,rewrite-strat(bottomup-bottomup)-regression-exponential-sys,rewrite-strat(bottomup-bottomup)-regression-exponential-user,rewrite-strat(topdown-bottomup)-regression-exponential-real,rewrite-strat(topdown-bottomup)-regression-exponential-sys,rewrite-strat(topdown-bottomup)-regression-exponential-user,setoid-rewrite-regression-cubic-real,setoid-rewrite-regression-cubic-sys,setoid-rewrite-regression-cubic-user
400,400,1,,,,,,,,,,,,,0.229,0.,0.229,,,,,,,,,,,,
401,1,401,,,,,,,,,,,,,,,,0.001,0.,0.001,,,,,,,,,
401,401,1,,,,,,,,,,,,,,,,0.002,0.,0.002,,,,,,,,,
402,1,402,,,,,,,,,,,,,0.444,0.,0.443,,,,,,,,,,,,
402,402,1,,,,,,,,,,,,,0.21,0.,0.21,,,,,,,,,,,,
404,1,404,2.06,0.,2.06,,,,,,,,,,,,,,,,,,,,,,,,
404,404,1,1.263,0.,1.263,,,,,,,,,,,,,,,,,,,,,,,,
407,1,407,,,,,,,,,,0.072,0.003,0.001,,,,,,,,,,,,,,,
407,407,1,,,,,,,,,,0.072,0.,0.006,,,,,,,,,,,,,,,
413,1,413,,,,0.001,0.,0.001,0.001,0.,0.001,,,,,,,,,,,,,,,,,,
413,413,1,,,,0.001,0.,0.001,0.001,0.,0.001,,,,,,,,,,,,,,,,,,
414,1,414,1.819,0.,1.819,,,,,,,,,,,,,,,,,,,,,,,,
414,414,1,1.13,0.,1.13,,,,,,,,,,,,,,,,,,,,,,,,
420,20,21,0.047,0.,0.047,0.,0.,0.,0.,0.,0.,0.078,0.003,0.001,0.035,0.,0.035,0.001,0.,0.001,,,,,,,,,
427,1,427,,,,,,,,,,0.076,0.003,0.001,,,,,,,,,,,,,,,
427,427,1,,,,,,,,,,0.075,0.003,0.001,,,,,,,,,,,,,,,
436,1,436,,,,,,,,,,,,,0.613,0.,0.613,,,,,,,,,,,,
436,436,1,,,,,,,,,,,,,0.249,0.,0.249,,,,,,,,,,,,
437,1,437,,,,,,,,,,,,,,,,0.001,0.,0.001,,,,,,,,,
437,437,1,,,,,,,,,,,,,,,,0.002,0.,0.002,,,,,,,,,
458,1,458,,,,,,,,,,0.076,0.003,0.002,,,,,,,,,,,,,,,
458,458,1,,,,,,,,,,0.072,0.004,0.001,,,,,,,,,,,,,,,
462,21,22,0.048,0.,0.048,0.,0.,0.,0.,0.,0.,0.073,0.003,0.001,0.039,0.,0.039,0.001,0.,0.001,,,,,,,,,
471,1,471,2.406,0.,2.406,,,,,,,,,,,,,,,,,,,,,,,,
471,471,1,1.449,0.003,1.445,,,,,,,,,,,,,,,,,,,,,,,,
472,1,472,,,,0.001,0.,0.001,0.002,0.,0.002,,,,,,,0.001,0.,0.001,,,,,,,,,
472,472,1,,,,0.001,0.,0.001,0.001,0.,0.001,,,,,,,0.002,0.,0.002,,,,,,,,,
473,1,473,,,,,,,,,,,,,0.642,0.,0.642,,,,,,,,,,,,
